ProteinName,Run,HP,LP,log2LP/HP
A0A0R0FQE0,2,9399202028.0,6440009999.6,-0.5454753518305214
A0A0R0FQE0,3,8872682872.0,6570605976.0,-0.4333439748712236
A0A0R0FQN0,1,2733851653.2,4209448152.8,0.6226961520850361
A0A0R0FQN0,2,2784673512.6,4871713853.5,0.8069212075951189
A0A0R0FQN0,3,2567472414.5,4539326407.94,0.8221294554444962
A0A0R0FSI6,1,302752156.0,609787109.5,1.0101684191688676
A0A0R0FSI6,2,276288862.75,706471963.2,1.354454899357414
A0A0R0FSI6,3,209552703.5,694689654.7,1.7290554787001844
A0A0R0FSY2,1,7275977530.0,5866295418.0,-0.31069136267841724
A0A0R0FSY2,2,8612113488.72,6271138359.0,-0.45763998132283107
A0A0R0FSY2,3,6608659693.5,5753508050.47,-0.19991583773711524
A0A0R0FTU5,1,1780233342.0,1529278822.0,-0.2192148866429482
A0A0R0FTU5,2,2065514666.0,1525977456.2,-0.4367676550658055
A0A0R0FTU5,3,1694706070.0,1476949520.0,-0.1984145561639131
A0A0R0FUV4,1,2819755270.0,2368063662.7,-0.25186208809015725
A0A0R0FUV4,2,2034941301.5,2534866046.5,0.31692233076005427
A0A0R0FUV4,3,2778773963.5,2571727619.5,-0.11171063479912682
A0A0R0FVI5,1,1835900149.8,819254025.8,-1.1641048338905684
A0A0R0FVI5,2,1913864548.0,511934028.0,-1.902458918174399
A0A0R0FVI5,3,1858143562.5,837549449.2,-1.1496156951699994
A0A0R0FW30,1,358360840.0,137515824.0,-1.3818153553522672
A0A0R0FW30,2,381529660.0,196925828.0,-0.9541428743628604
A0A0R0FW30,3,324363812.0,222669798.0,-0.5427069824238642
A0A0R0FW44,1,1370055092.6,442935385.9,-1.6290657447775208
A0A0R0FW44,2,1318544328.8,487348505.5,-1.4359203493545485
A0A0R0FW44,3,1310652704.0,536295845.5,-1.2891844692432606
A0A0R0FX09,1,259559203.0,653743978.8,1.3326621125035292
A0A0R0FX09,2,659328163.2,721225953.5,0.12945460606444528
A0A0R0FX09,3,699390765.4,735146120.0,0.07193228600596176
A0A0R0FZ23,1,2073474755.2,1061315765.0,-0.966196528448943
A0A0R0FZ23,2,2453087338.0,609716185.4,-2.0083888504115612
A0A0R0FZ23,3,1957663806.0,1221326757.0,-0.6806837945294316
A0A0R0FZN4,1,731701683.4,587540993.0,-0.316566065343399
A0A0R0FZN4,2,651756241.05,766259113.0,0.23349983394899754
A0A0R0FZN4,3,751711492.9,672182124.16,-0.16132688484387087
A0A0R0G0I7,1,418223791.8,244767757.4,-0.7728616077013757
A0A0R0G0I7,2,473842040.2,196886530.5,-1.267041786765746
A0A0R0G0I7,3,399123056.7,230545557.7,-0.7917817561970947
A0A0R0G0K3,1,686551670.0,716294128.5,0.06118381431073364
A0A0R0G0K3,2,691123175.0,859156380.0,0.3139778915369491
A0A0R0G0K3,3,747321783.5,884149448.0,0.24256067365068298
A0A0R0G342,1,3033511574.7,826435721.0,-1.8760142979277064
A0A0R0G342,2,2034003586.5,833144901.5,-1.2876828853875553
A0A0R0G342,3,1955925779.4,1122119593.91,-0.8016251815292524
A0A0R0G3G4,1,132629477.5,69355760.0,-0.9353138480264555
A0A0R0G3G4,2,208848380.0,97974428.0,-1.0919788026747925
A0A0R0G3G4,3,69438757.0,98356445.2,0.502278471160754
A0A0R0G3Y8,1,601364823.78,754643812.0,0.32755537903544835
A0A0R0G3Y8,2,657397482.0,961942069.94,0.5491840841146668
A0A0R0G3Y8,3,603570650.0,1044696940.0,0.7914899279127622
A0A0R0G554,1,15758601593.5,32424964949.0,1.0409654981445335
A0A0R0G554,2,16412340836.76,30923286372.3,0.9139126295782918
A0A0R0G554,3,15472597403.4,32458044272.760002,1.068860670290601
A0A0R0G6T3,1,2477570755.1,7295536896.2,1.5580878946119379
A0A0R0G6T3,2,3015044681.7,7343477432.8,1.2842840167546474
A0A0R0G6T3,3,2737893568.65,8247559737.0,1.5909009570928945
A0A0R0G869,1,1191761848.5,1791860972.5,0.5883627366817394
A0A0R0G869,2,1267666016.2,1948340594.5,0.6200712027792925
A0A0R0G869,3,1406857039.6,1611594856.5,0.19601337228294147
A0A0R0GAK0,1,2625264756.0,1614588093.0,-0.7012967673385826
A0A0R0GAK0,2,3114764931.0,2734993601.0,-0.18758583065025627
A0A0R0GAK0,3,3080833243.23,1570585236.0,-0.9720183550117072
A0A0R0GB14,1,237941638.6,499999.9128745795,-8.89446419945779
A0A0R0GB14,2,265249287.06,500000.23552250455,-9.051204383653973
A0A0R0GB14,3,159932101.9,499999.75784547307,-8.321316437081874
A0A0R0GB30,1,278363937.5,1316935646.0,2.2421406229784075
A0A0R0GB30,2,314643204.3,1061302058.5,1.7540466330607745
A0A0R0GB30,3,251178245.94,840137225.8,1.7419134725188885
A0A0R0GB74,1,417685732.5,600763048.5,0.5243782147491384
A0A0R0GB74,2,481673413.76,598951141.0,0.3143830252809553
A0A0R0GB74,3,586908626.28,448184645.0,-0.38904269041140366
A0A0R0GDY6,1,996557451.6,796018776.0,-0.32415051835082676
A0A0R0GDY6,2,1120922068.8,813705905.7,-0.4621066128094902
A0A0R0GDY6,3,1151101299.0,878872788.5,-0.3892885345895217
A0A0R0GE46,1,523268517.7,618416003.0,0.2410261907153925
A0A0R0GE46,2,556881345.44,727358916.0,0.3852974735271795
A0A0R0GE46,3,487616582.05,470419005.8,-0.05180083864858327
A0A0R0GEJ0,1,3431547319.5,3659045200.5,0.09260798858610893
